"Product Name","Product URL","Category","Description Status","Priority","Notes"
"Kyocera Royal 1KG Refill Powder","https://trinatechweb1.base44.app/product?id=5052","Royal Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (31 chars)"
"Royal 05A Black Compatible (CE505A)","https://trinatechweb1.base44.app/product?id=5403","Royal Hp Compatible Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (34 chars)"
"Royal 201A Black Compatible (CF540A)","https://trinatechweb1.base44.app/product?id=5433","Royal Hp Compatible Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (35 chars)"
"Royal 203A Black Compatible (CF540A)","https://trinatechweb1.base44.app/product?id=5429","Royal Hp Compatible Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (35 chars)"
"Royal 500G Kyocera Powder","https://trinatechweb1.base44.app/product?id=5022","Royal Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (25 chars)"
"Royal 80A Black Compatible (CF280A)","https://trinatechweb1.base44.app/product?id=5415","Royal Hp Compatible Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (34 chars)"
"Royal 83A Black Compatible (CF283A)","https://trinatechweb1.base44.app/product?id=5414","Royal Hp Compatible Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (34 chars)"
"Royal 85A Black Compatible (CE285A)","https://trinatechweb1.base44.app/product?id=5413","Royal Hp Compatible Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (34 chars)"
"ROYAL Canon C-EXV29 Toner Value Each B/Cm/Y","https://trinatechweb1.base44.app/product?id=5507","Canon Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (37 chars)"
"Royal Compatible 212A","https://trinatechweb1.base44.app/product?id=5407","Royal Hp Compatible Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (21 chars)"
"Royal HP 500G Refill Powder","https://trinatechweb1.base44.app/product?id=5020","Royal Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (27 chars)"
"Royal HP Refill Powder 1KG","https://trinatechweb1.base44.app/product?id=5019","Royal Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (26 chars)"
"Royal TK 8335CMYK Compatible Toner Cartridge Each","https://trinatechweb1.base44.app/product?id=5032","Royal Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (49 chars)"
"Royal TK 8515 Compatible Toners CMYK Each","https://trinatechweb1.base44.app/product?id=5391","Royal Kyocera Compatible Toners","HAS DESCRIPTION","MEDIUM","Thin/placeholder description (41 chars)"
