id,name,file,descLen,indentedHeadings4,indentedTableRows4,bodyIndented,maxLeadingSpaces,sampleLine
3420,"Epson CO-FH02 Projector",products-part1b.js,3529,6,14,1,4,"    ## What it works with"
3442,"Canon Canoscan Lide 300 Scanner",products-part1b.js,3640,6,13,1,4,"    ## What it works with"
3444,"HP Scanjet Pro 3600 F1 Scanner",products-part3.js,2468,6,3,1,4,"    ## Compatible printers"
3473,"Asus X515 Celeron 4GB/256SSD/15.6 Laptop",products-part1.js,3581,6,10,1,4,"    ## What it works with"
3475,"Asus X543U Core I5 8GB1TB15.6WIN 10 Laptop",products-part1.js,3568,6,10,1,4,"    ## What it works with"
3480,"Dell Vostro 3500 Core I5 4GB/1TB/15.6in UBUNTU Laptop",products-part1b.js,3555,6,11,1,4,"    ## What it works with"
3482,"Dell Vostro 3400 Core I5 4GB/1TB/14in Laptop",products-part1b.js,3383,6,10,1,4,"    ## What it works with"
3485,"Dell Vostro 3400 Core I3 4GB/1TB/14in Laptop",products-part1b.js,3406,6,10,1,4,"    ## What it works with"
3487,"Lenovo Ideapad 3 Core I5 4GB/1TB/15.6"" Laptop",products-part4.js,2394,6,3,1,4,"    ## Compatible printers"
3489,"Lenovo Ideapad 3 Core I3 4GB/1TB/14""/UBUNTU Laptop",products-part4.js,2457,6,3,1,4,"    ## Compatible printers"
3491,"HP 255 G8 Amd Ryzen 3 Core I5 4GB/1TB/DOS Laptop",products-part2.js,2511,6,3,1,4,"    ## Compatible printers"
3498,"HP 250 G8 10Th Gen Core I7 1TB HDD 8GB RAM 15.6in Laptop",products-part2.js,2646,6,3,1,4,"    ## Compatible printers"
3502,"HP M22F Fhd (1080P) Ips Frameless LED Backlit 22-INCH Monitor",products-part3.js,2522,6,3,1,4,"    ## Compatible printers"
3504,"HP V24I G5 Fhd Monitor",products-part4.js,2416,6,3,1,4,"    ## Compatible printers"
3511,"Dell S2721HL 27-INCH Full Hd 8MS LCD Monitor",products-part1b.js,3457,6,13,1,4,"    ## What it works with"
4032,"Toshiba 2TB Canvio Basics Portable External Hard Drive",products-part6.js,2583,6,3,1,4,"    ## Compatible printers"
4035,"Toshiba 1TB Canvio Basics Portable External Hard Drive",products-part6.js,2521,6,3,1,4,"    ## Compatible printers"
4044,"Mecer 650VA Line Interactive Ups (ME-650-VU)",products-part4.js,2495,6,3,1,4,"    ## Compatible printers"
4048,"Eaton 5E 850VA Ups",products-part1b.js,4016,6,15,1,4,"    ## What it works with"
4051,"Apc Back-Ups 650VA",products-part1.js,3850,6,11,1,4,"    ## What it works with"
