code,royal_id_a,royal_name_a,royal_id_b,royal_name_b
W1106A,"5402","Royal 106A Compatible Black Toners Cartridge (W1106A)","3558","Royal Superior 106A (W1106A) Laserjet Toner Cartridge"
117A,"5401","Royal 117A Compatible Toner Each","4169","Royal Superior 117A Laserjet Toner Cartridge"
136A,"5399","Royal 136A Black Compatible Toner Cartridge","4178","Royal Superior 136A Laserjet Toner Cartridge"
CF540A,"5433","Royal 201A Black Compatible (CF540A)","5429","Royal 203A Black Compatible (CF540A)"
150A,"5411","Royal Compatible 150A","4540","Royal Superior Laserjet Toner Cartridge 150A"
202A,"5409","Royal Compatible 202A","4916","Royal Superior Laserjet Toner Cartridge 202A"
207A,"5408","Royal Compatible 207A","4163","Royal Superior 207A Laserjet Toner Cartridge"
216A,"5406","Royal Compatible 216A","4154","Royal Superior 216A Laserjet Toner Cartridge"
415A,"5404","Royal Compatible 415A  BLACK","4157","Royal Superior 415A Laserjet Toner Cartridge"
85A,"4528","Royal Superior Laserjet Toner Cartridge 85A/35A","4983","Royal Toner Cartridge 85A/35A Black"
TK-1120,"5386","Royal TK 1120 Original Toner Cartridge","5385","Royal TK 1120 Toner Compatible Cartridge"
TK-1150,"5383","Royal TK 1150 Black Toner Cartridge","5382","Royal TK 1150 Compatible Black Toner Cartridge"
TK-3060,"5050","Royal TK 3060 Black Toner Cartridge","5049","Royal TK 3060 Compatible Black Toner Cartridge"
TK-3150,"5379","Royal TK 3150 Black Toner Cartridge","5378","Royal TK 3150 Compatible Black Toner Cartridge"
TK-410,"5377","Royal TK 410 Compatible Black Toner Cartridge","5012","Royal TK 410/435 Black Toner Cartridge"
TK-435,"5008","Royal TK 435 Black Toner Cartridge","5007","Royal TK 435 Compatible Black Toner Cartridge"
TK-475,"5006","Royal TK 475 Black Toner Cartridge","5005","Royal TK 475 Compatible Black Toner Cartridge"
TK-5230,"5374","Royal TK 5230 Colors Cym Compatible Toners Each","5395","Royal TK 5230 Genuine Toner Cartridge Each"
TK-5270,"5372","Royal TK 5270 Black Toner Cartridge","5371","Royal TK 5270 Cmy Toner Cartridge Each"
TK-5270,"5372","Royal TK 5270 Black Toner Cartridge","5370","Royal TK 5270 Compatible Black Toner Cartridge Each"
TK-5270,"5371","Royal TK 5270 Cmy Toner Cartridge Each","5370","Royal TK 5270 Compatible Black Toner Cartridge Each"
TK-5280,"5369","Royal TK 5280 Black Toner Cartridge","5368","Royal TK 5280 Compatible Toner Each"
TK-5280,"5369","Royal TK 5280 Black Toner Cartridge","5367","Royal TK 5280 Cym Color Toner Each"
TK-5280,"5368","Royal TK 5280 Compatible Toner Each","5367","Royal TK 5280 Cym Color Toner Each"
TK-5370,"5001","Royal TK 5370 Black Toner Cartridge","5000","Royal TK 5370 Compatible Toner Cartridge"
TK-5370,"5001","Royal TK 5370 Black Toner Cartridge","4999","Royal TK 5370 Cym Toner Cartridge Each"
TK-5370,"5000","Royal TK 5370 Compatible Toner Cartridge","4999","Royal TK 5370 Cym Toner Cartridge Each"
TK-590,"5394","Royal TK 590 Compatible Toner Cartridges Each","4998","Royal TK 590 Toner Cartridges Each"
TK-6305,"5047","Royal TK 6305 Black Toner Cartridge","5046","Royal TK 6305 Compatible Black Toner Cartridge"
TK-675,"4995","Royal TK 675 Black Toner Cartridge","5044","Royal TK 675 Compatible Black Toner Cartridge"
TK-715,"4994","Royal TK 715 Black Toner Cartridge","4993","Royal TK 715 Compatible Black Toner"
TK-7205,"5361","Royal TK 7205 Black Toner Cartridge","5360","Royal TK 7205 Compatible Black Toner Cartridge"
TK-7225,"5041","Royal TK 7225 Black Toner","5040","Royal TK 7225 Compatible Black Toner"
TK-7235,"4992","Royal TK 7235 Black Toner Cartridge","4991","Royal TK 7235 Compatible Black Toner Cartridge"
TK-8115,"5039","Royal TK 8115 Compatible Toner Cartridge Each","5038","Royal TK 8115 Toner Cartridge Each"
TK-8305,"5037","Royal TK 8305 Black Toner Cartridge","4990","Royal TK 8305 Compatible Toners Each"
TK-8305,"5037","Royal TK 8305 Black Toner Cartridge","5036","Royal TK 8305 Cym Black Toner Each"
TK-8305,"4990","Royal TK 8305 Compatible Toners Each","5036","Royal TK 8305 Cym Black Toner Each"
TK-8325,"5035","Royal TK 8325 Black Toner Cartridge","5034","Royal TK 8325 Cmy Cartridge"
TK-8505,"5393","Royal TK 8505 Compatible Toner Cartridge Each","5392","Royal TK 8505 Toner Cartridge Each"
TK-8525,"5029","Royal TK 8525 Cmy Toner Each","5028","Royal TK 8525 Compatible Toner Cartridge CMYK Each"
