royal_id,royal_name,code
5399,"Royal 136A Black Compatible Toner Cartridge",136A
5421,"Royal 305A Magenta Compatible (CE413A)",CE413A
5418,"Royal 415A Compatible Each Color (W2030/1/2/3)",W2030
5023,"Royal 44A Toner",44A
5412,"Royal Compatible 145A",145A
5410,"Royal Compatible 151A",151A
5409,"Royal Compatible 202A",202A
5021,"Royal Compatible TK-1282",TK-1282
4178,"Royal Superior 136A Laserjet Toner Cartridge",136A
4202,"Royal Superior 206A Laserjet Toner Cartridge",206A
3567,"Royal Superior 88A Laserjet Toner Cartridge",88A
4916,"Royal Superior Laserjet Toner Cartridge 202A",202A
5384,"Royal TK 1140 Black Toner Cartridge",TK-1140
5018,"Royal TK 1240 Black & TK 1242 Compatible Toner Cartridge",TK-1240
5016,"Royal TK 170 Black Toner Cartridge",TK-170
5015,"Royal TK 3100 Black Compatible Toner Cartridge",TK-3100
5379,"Royal TK 3150 Black Toner Cartridge",TK-3150
5378,"Royal TK 3150 Compatible Black Toner Cartridge",TK-3150
5013,"Royal TK 3300Black Toner Cartridge",TK-3300
5375,"Royal TK 4105 Compatible Black Toner Cartridge",TK-4105
5011,"Royal TK 4145 Compatible Black Toner Cartridge",TK-4145
5008,"Royal TK 435 Black Toner Cartridge",TK-435
5007,"Royal TK 435 Compatible Black Toner Cartridge",TK-435
5004,"Royal TK 5135 Toners Cymk Cartridges Each",TK-5135
5003,"Royal TK 5140 Toner Cartridge Each",TK-5140
5374,"Royal TK 5230 Colors Cym Compatible Toners Each",TK-5230
5395,"Royal TK 5230 Genuine Toner Cartridge Each",TK-5230
5373,"Royal TK 5230K Compatible Black Toner",TK-5230K
5001,"Royal TK 5370 Black Toner Cartridge",TK-5370
5000,"Royal TK 5370 Compatible Toner Cartridge",TK-5370
4999,"Royal TK 5370 Cym Toner Cartridge Each",TK-5370
5047,"Royal TK 6305 Black Toner Cartridge",TK-6305
5046,"Royal TK 6305 Compatible Black Toner Cartridge",TK-6305
4997,"Royal TK 6345 Black Toner",TK-6345
5045,"Royal TK 6705 Black Toner Cartridge",TK-6705
4996,"Royal TK 6725 Toner Cartridge",TK-6725
5043,"Royal TK 685 Black Toner Cartridge",TK-685
4992,"Royal TK 7235 Black Toner Cartridge",TK-7235
4991,"Royal TK 7235 Compatible Black Toner Cartridge",TK-7235
5039,"Royal TK 8115 Compatible Toner Cartridge Each",TK-8115
5038,"Royal TK 8115 Toner Cartridge Each",TK-8115
5037,"Royal TK 8305 Black Toner Cartridge",TK-8305
4990,"Royal TK 8305 Compatible Toners Each",TK-8305
5036,"Royal TK 8305 Cym Black Toner Each",TK-8305
5031,"Royal TK 8345 Cym Color Toner Cartridge",TK-8345
5030,"Royal TK 8345K Black Toner Cartridge",TK-8345K
4988,"Royal TK 8375 Color Toners Cmy Each",TK-8375
4987,"Royal TK 8375K Black Toner",TK-8375K
5393,"Royal TK 8505 Compatible Toner Cartridge Each",TK-8505
5392,"Royal TK 8505 Toner Cartridge Each",TK-8505
5391,"Royal TK 8515 Compatible Toners CMYK Each",TK-8515
5390,"Royal TK 8515C Cyan Cartridge",TK-8515C
5389,"Royal TK 8515K Black Cartridge",TK-8515K
5388,"Royal TK 8515M Magenta Cartridge",TK-8515M
5387,"Royal TK 8515Y Yellow Cartridge",TK-8515Y
5029,"Royal TK 8525 Cmy Toner Each",TK-8525
5028,"Royal TK 8525 Compatible Toner Cartridge CMYK Each",TK-8525
5027,"Royal TK 8525K Black Toner Catridge",TK-8525K
5026,"Royal TK 8545 Cmy Toner Each",TK-8545
5359,"Royal TK 8545K Black Toner Cartridge",TK-8545K
5025,"Royal TK 8555 Cym Toner Cartridge",TK-8555
5024,"Royal TK 8555K Compatible Black Toner",TK-8555K
5358,"Royal TK 8705 Black Toner Each Cym",TK-8705
4985,"Royal Toner Cartridge 407S",407S
4980,"Royal Toner Cartridge W1816A Black",W1816A
